Heart rate variability (ms),Sleep Stage,Group Label,Stage,Group Type
39.0,Deep Group,Above Normal,Deep,Above Normal
89.0,Deep Group,Below Normal,Deep,Below Normal
48.0,Deep Group,Above Normal,Deep,Above Normal
46.0,Deep Group,Normal,Deep,Normal
55.0,Deep Group,Above Normal,Deep,Above Normal
40.0,Deep Group,Above Normal,Deep,Above Normal
57.0,Deep Group,Above Normal,Deep,Above Normal
57.0,Deep Group,Above Normal,Deep,Above Normal
47.0,Deep Group,Above Normal,Deep,Above Normal
55.0,Deep Group,Normal,Deep,Normal
53.0,Deep Group,Normal,Deep,Normal
50.0,Deep Group,Below Normal,Deep,Below Normal
47.0,Deep Group,Below Normal,Deep,Below Normal
55.0,Deep Group,Above Normal,Deep,Above Normal
52.0,Deep Group,Normal,Deep,Normal
52.0,Deep Group,Below Normal,Deep,Below Normal
47.0,Deep Group,Below Normal,Deep,Below Normal
45.0,Deep Group,Normal,Deep,Normal
51.0,Deep Group,Normal,Deep,Normal
52.0,Deep Group,Above Normal,Deep,Above Normal
52.0,Deep Group,Above Normal,Deep,Above Normal
52.0,Deep Group,Above Normal,Deep,Above Normal
49.0,Deep Group,Above Normal,Deep,Above Normal
59.0,Deep Group,Above Normal,Deep,Above Normal
47.0,Deep Group,Normal,Deep,Normal
52.0,Deep Group,Above Normal,Deep,Above Normal
52.0,Deep Group,Above Normal,Deep,Above Normal
53.0,Deep Group,Above Normal,Deep,Above Normal
45.0,Deep Group,Above Normal,Deep,Above Normal
45.0,Deep Group,Above Normal,Deep,Above Normal
51.0,Deep Group,Above Normal,Deep,Above Normal
58.0,Deep Group,Above Normal,Deep,Above Normal
52.0,Deep Group,Above Normal,Deep,Above Normal
59.0,Deep Group,Above Normal,Deep,Above Normal
60.0,Deep Group,Normal,Deep,Normal
46.0,Deep Group,Above Normal,Deep,Above Normal
57.0,Deep Group,Below Normal,Deep,Below Normal
50.0,Deep Group,Normal,Deep,Normal
52.0,Deep Group,Below Normal,Deep,Below Normal
54.0,Deep Group,Below Normal,Deep,Below Normal
47.0,Deep Group,Below Normal,Deep,Below Normal
47.0,Deep Group,Normal,Deep,Normal
56.0,Deep Group,Below Normal,Deep,Below Normal
46.0,Deep Group,Above Normal,Deep,Above Normal
60.0,Deep Group,Normal,Deep,Normal
28.0,Deep Group,Below Normal,Deep,Below Normal
45.0,Deep Group,Above Normal,Deep,Above Normal
49.0,Deep Group,Normal,Deep,Normal
43.0,Deep Group,Normal,Deep,Normal
59.0,Deep Group,Below Normal,Deep,Below Normal
54.0,Deep Group,Normal,Deep,Normal
53.0,Deep Group,Above Normal,Deep,Above Normal
48.0,Deep Group,Above Normal,Deep,Above Normal
34.0,Deep Group,Normal,Deep,Normal
58.0,Deep Group,Above Normal,Deep,Above Normal
43.0,Deep Group,Normal,Deep,Normal
30.0,Deep Group,Above Normal,Deep,Above Normal
48.0,Deep Group,Above Normal,Deep,Above Normal
52.0,Deep Group,Below Normal,Deep,Below Normal
57.0,Deep Group,Normal,Deep,Normal
48.0,Deep Group,Above Normal,Deep,Above Normal
41.0,Deep Group,Normal,Deep,Normal
41.0,Deep Group,Normal,Deep,Normal
41.0,Deep Group,Normal,Deep,Normal
38.0,Deep Group,Above Normal,Deep,Above Normal
41.0,Deep Group,Above Normal,Deep,Above Normal
43.0,Deep Group,Below Normal,Deep,Below Normal
54.0,Deep Group,Normal,Deep,Normal
56.0,Deep Group,Normal,Deep,Normal
49.0,Deep Group,Above Normal,Deep,Above Normal
64.0,Deep Group,Normal,Deep,Normal
64.0,Deep Group,Normal,Deep,Normal
63.0,Deep Group,Below Normal,Deep,Below Normal
49.0,Deep Group,Below Normal,Deep,Below Normal
47.0,Deep Group,Above Normal,Deep,Above Normal
60.0,Deep Group,Above Normal,Deep,Above Normal
59.0,Deep Group,Above Normal,Deep,Above Normal
55.0,Deep Group,Below Normal,Deep,Below Normal
38.0,Deep Group,Below Normal,Deep,Below Normal
40.0,Deep Group,Normal,Deep,Normal
61.0,Deep Group,Above Normal,Deep,Above Normal
29.0,Deep Group,Above Normal,Deep,Above Normal
29.0,Deep Group,Above Normal,Deep,Above Normal
61.0,Deep Group,Above Normal,Deep,Above Normal
52.0,Deep Group,Above Normal,Deep,Above Normal
54.0,Deep Group,Above Normal,Deep,Above Normal
47.0,Deep Group,Normal,Deep,Normal
47.0,Deep Group,Above Normal,Deep,Above Normal
47.0,Deep Group,Above Normal,Deep,Above Normal
48.0,Deep Group,Above Normal,Deep,Above Normal
66.0,Deep Group,Normal,Deep,Normal
55.0,Deep Group,Above Normal,Deep,Above Normal
19.0,Deep Group,Above Normal,Deep,Above Normal
56.0,Deep Group,Normal,Deep,Normal
56.0,Deep Group,Normal,Deep,Normal
30.0,Deep Group,Above Normal,Deep,Above Normal
61.0,Deep Group,Normal,Deep,Normal
61.0,Deep Group,Below Normal,Deep,Below Normal
40.0,Deep Group,Below Normal,Deep,Below Normal
40.0,Deep Group,Below Normal,Deep,Below Normal
40.0,Deep Group,Below Normal,Deep,Below Normal
66.0,Deep Group,Normal,Deep,Normal
48.0,Deep Group,Normal,Deep,Normal
61.0,Deep Group,Above Normal,Deep,Above Normal
58.0,Deep Group,Normal,Deep,Normal
58.0,Deep Group,Normal,Deep,Normal
59.0,Deep Group,Above Normal,Deep,Above Normal
59.0,Deep Group,Above Normal,Deep,Above Normal
50.0,Deep Group,Above Normal,Deep,Above Normal
30.0,Deep Group,Above Normal,Deep,Above Normal
53.0,Deep Group,Above Normal,Deep,Above Normal
47.0,Deep Group,Normal,Deep,Normal
47.0,Deep Group,Normal,Deep,Normal
47.0,Deep Group,Normal,Deep,Normal
56.0,Deep Group,Above Normal,Deep,Above Normal
56.0,Deep Group,Above Normal,Deep,Above Normal
30.0,Deep Group,Above Normal,Deep,Above Normal
47.0,Deep Group,Above Normal,Deep,Above Normal
43.0,Deep Group,Above Normal,Deep,Above Normal
50.0,Deep Group,Above Normal,Deep,Above Normal
46.0,Deep Group,Above Normal,Deep,Above Normal
51.0,Deep Group,Above Normal,Deep,Above Normal
43.0,Deep Group,Below Normal,Deep,Below Normal
46.0,Deep Group,Above Normal,Deep,Above Normal
58.0,Deep Group,Normal,Deep,Normal
50.0,Deep Group,Above Normal,Deep,Above Normal
43.0,Deep Group,Above Normal,Deep,Above Normal
43.0,Deep Group,Above Normal,Deep,Above Normal
52.0,Deep Group,Above Normal,Deep,Above Normal
43.0,Deep Group,Above Normal,Deep,Above Normal
63.0,Deep Group,Below Normal,Deep,Below Normal
54.0,Deep Group,Above Normal,Deep,Above Normal
56.0,Deep Group,Above Normal,Deep,Above Normal
65.0,Deep Group,Above Normal,Deep,Above Normal
47.0,Deep Group,Normal,Deep,Normal
52.0,Deep Group,Above Normal,Deep,Above Normal
35.0,Deep Group,Above Normal,Deep,Above Normal
42.0,Deep Group,Above Normal,Deep,Above Normal
41.0,Deep Group,Above Normal,Deep,Above Normal
55.0,Deep Group,Above Normal,Deep,Above Normal
55.0,Deep Group,Above Normal,Deep,Above Normal
43.0,Deep Group,Above Normal,Deep,Above Normal
36.0,Deep Group,Normal,Deep,Normal
30.0,Deep Group,Above Normal,Deep,Above Normal
53.0,Deep Group,Normal,Deep,Normal
41.0,Deep Group,Normal,Deep,Normal
54.0,Deep Group,Above Normal,Deep,Above Normal
50.0,Deep Group,Normal,Deep,Normal
49.0,Deep Group,Above Normal,Deep,Above Normal
49.0,Deep Group,Above Normal,Deep,Above Normal
48.0,Deep Group,Above Normal,Deep,Above Normal
17.0,Deep Group,Above Normal,Deep,Above Normal
51.0,Deep Group,Above Normal,Deep,Above Normal
48.0,Deep Group,Normal,Deep,Normal
54.0,Deep Group,Above Normal,Deep,Above Normal
47.0,Deep Group,Above Normal,Deep,Above Normal
51.0,Deep Group,Above Normal,Deep,Above Normal
53.0,Deep Group,Normal,Deep,Normal
62.0,Deep Group,Above Normal,Deep,Above Normal
48.0,Deep Group,Above Normal,Deep,Above Normal
67.0,Light Group,Above Normal,Light,Above Normal
74.0,Light Group,Above Normal,Light,Above Normal
72.0,Light Group,Normal,Light,Normal
65.0,Light Group,Normal,Light,Normal
34.0,Light Group,Below Normal,Light,Below Normal
34.0,Light Group,Below Normal,Light,Below Normal
45.0,Light Group,Below Normal,Light,Below Normal
70.0,Light Group,Above Normal,Light,Above Normal
64.0,Light Group,Normal,Light,Normal
62.0,Light Group,Below Normal,Light,Below Normal
57.0,Light Group,Below Normal,Light,Below Normal
70.0,Light Group,Below Normal,Light,Below Normal
52.0,Light Group,Normal,Light,Normal
38.0,Light Group,Normal,Light,Normal
67.0,Light Group,Normal,Light,Normal
58.0,Light Group,Normal,Light,Normal
63.0,Light Group,Normal,Light,Normal
72.0,Light Group,Normal,Light,Normal
74.0,Light Group,Normal,Light,Normal
32.0,Light Group,Below Normal,Light,Below Normal
30.0,Light Group,Below Normal,Light,Below Normal
60.0,Light Group,Above Normal,Light,Above Normal
62.0,Light Group,Above Normal,Light,Above Normal
75.0,Light Group,Above Normal,Light,Above Normal
65.0,Light Group,Normal,Light,Normal
65.0,Light Group,Normal,Light,Normal
61.0,Light Group,Normal,Light,Normal
39.0,Light Group,Below Normal,Light,Below Normal
61.0,Light Group,Normal,Light,Normal
28.0,Light Group,Normal,Light,Normal
28.0,Light Group,Normal,Light,Normal
61.0,Light Group,Normal,Light,Normal
69.0,Light Group,Above Normal,Light,Above Normal
59.0,Light Group,Below Normal,Light,Below Normal
49.0,Light Group,Above Normal,Light,Above Normal
29.0,Light Group,Below Normal,Light,Below Normal
46.0,Light Group,Below Normal,Light,Below Normal
37.0,Light Group,Below Normal,Light,Below Normal
59.0,Light Group,Normal,Light,Normal
80.0,Light Group,Below Normal,Light,Below Normal
59.0,Light Group,Normal,Light,Normal
58.0,Light Group,Normal,Light,Normal
68.0,Light Group,Below Normal,Light,Below Normal
68.0,Light Group,Below Normal,Light,Below Normal
67.0,Light Group,Below Normal,Light,Below Normal
68.0,Light Group,Below Normal,Light,Below Normal
74.0,Light Group,Normal,Light,Normal
64.0,Light Group,Normal,Light,Normal
62.0,Light Group,Normal,Light,Normal
64.0,Light Group,Normal,Light,Normal
53.0,Light Group,Below Normal,Light,Below Normal
67.0,Light Group,Above Normal,Light,Above Normal
56.0,Light Group,Normal,Light,Normal
62.0,Light Group,Normal,Light,Normal
63.0,Light Group,Normal,Light,Normal
66.0,Light Group,Above Normal,Light,Above Normal
67.0,Light Group,Normal,Light,Normal
67.0,Light Group,Normal,Light,Normal
51.0,Light Group,Below Normal,Light,Below Normal
38.0,Light Group,Above Normal,Light,Above Normal
60.0,Light Group,Normal,Light,Normal
66.0,Light Group,Normal,Light,Normal
71.0,Light Group,Normal,Light,Normal
71.0,Light Group,Normal,Light,Normal
71.0,Light Group,Normal,Light,Normal
60.0,Light Group,Normal,Light,Normal
67.0,Light Group,Below Normal,Light,Below Normal
42.0,Light Group,Normal,Light,Normal
61.0,Light Group,Above Normal,Light,Above Normal
47.0,Light Group,Normal,Light,Normal
55.0,Light Group,Normal,Light,Normal
55.0,Light Group,Normal,Light,Normal
42.0,Light Group,Below Normal,Light,Below Normal
42.0,Light Group,Below Normal,Light,Below Normal
34.0,Light Group,Normal,Light,Normal
60.0,Light Group,Above Normal,Light,Above Normal
60.0,Light Group,Above Normal,Light,Above Normal
56.0,Light Group,Above Normal,Light,Above Normal
55.0,Light Group,Above Normal,Light,Above Normal
67.0,Light Group,Normal,Light,Normal
67.0,Light Group,Normal,Light,Normal
67.0,Light Group,Below Normal,Light,Below Normal
63.0,Light Group,Below Normal,Light,Below Normal
54.0,Light Group,Below Normal,Light,Below Normal
49.0,Light Group,Normal,Light,Normal
50.0,Light Group,Below Normal,Light,Below Normal
66.0,Light Group,Below Normal,Light,Below Normal
65.0,Light Group,Normal,Light,Normal
69.0,Light Group,Below Normal,Light,Below Normal
65.0,Light Group,Normal,Light,Normal
55.0,Light Group,Below Normal,Light,Below Normal
59.0,Light Group,Below Normal,Light,Below Normal
59.0,Light Group,Below Normal,Light,Below Normal
63.0,Light Group,Above Normal,Light,Above Normal
55.0,Light Group,Above Normal,Light,Above Normal
63.0,Light Group,Below Normal,Light,Below Normal
65.0,Light Group,Normal,Light,Normal
69.0,Light Group,Below Normal,Light,Below Normal
51.0,Light Group,Normal,Light,Normal
64.0,Light Group,Above Normal,Light,Above Normal
58.0,Light Group,Above Normal,Light,Above Normal
58.0,Light Group,Above Normal,Light,Above Normal
38.0,Light Group,Above Normal,Light,Above Normal
71.0,Light Group,Above Normal,Light,Above Normal
56.0,Light Group,Above Normal,Light,Above Normal
63.0,Light Group,Above Normal,Light,Above Normal
57.0,Light Group,Normal,Light,Normal
63.0,Light Group,Above Normal,Light,Above Normal
61.0,Light Group,Below Normal,Light,Below Normal
58.0,Light Group,Above Normal,Light,Above Normal
61.0,Light Group,Normal,Light,Normal
42.0,Light Group,Above Normal,Light,Above Normal
65.0,Light Group,Normal,Light,Normal
57.0,Light Group,Above Normal,Light,Above Normal
68.0,Light Group,Normal,Light,Normal
68.0,Light Group,Normal,Light,Normal
68.0,Light Group,Normal,Light,Normal
37.0,Light Group,Below Normal,Light,Below Normal
37.0,Light Group,Below Normal,Light,Below Normal
41.0,Light Group,Below Normal,Light,Below Normal
59.0,Light Group,Above Normal,Light,Above Normal
58.0,Light Group,Above Normal,Light,Above Normal
34.0,Light Group,Below Normal,Light,Below Normal
65.0,Light Group,Normal,Light,Normal
65.0,Light Group,Normal,Light,Normal
67.0,Light Group,Below Normal,Light,Below Normal
57.0,Light Group,Normal,Light,Normal
52.0,Light Group,Normal,Light,Normal
29.0,Light Group,Below Normal,Light,Below Normal
63.0,Light Group,Normal,Light,Normal
42.0,Light Group,Normal,Light,Normal
49.0,Light Group,Below Normal,Light,Below Normal
49.0,Light Group,Above Normal,Light,Above Normal
30.0,Light Group,Below Normal,Light,Below Normal
30.0,Light Group,Below Normal,Light,Below Normal
42.0,Light Group,Normal,Light,Normal
75.0,Light Group,Above Normal,Light,Above Normal
62.0,Light Group,Above Normal,Light,Above Normal
61.0,Light Group,Normal,Light,Normal
61.0,Light Group,Normal,Light,Normal
39.0,Light Group,Below Normal,Light,Below Normal
54.0,Light Group,Above Normal,Light,Above Normal
46.0,Light Group,Above Normal,Light,Above Normal
74.0,Light Group,Below Normal,Light,Below Normal
74.0,Light Group,Below Normal,Light,Below Normal
63.0,Light Group,Below Normal,Light,Below Normal
63.0,Light Group,Below Normal,Light,Below Normal
70.0,Light Group,Above Normal,Light,Above Normal
58.0,Light Group,Above Normal,Light,Above Normal
28.0,Light Group,Below Normal,Light,Below Normal
54.0,Light Group,Below Normal,Light,Below Normal
54.0,Light Group,Below Normal,Light,Below Normal
51.0,Light Group,Above Normal,Light,Above Normal
69.0,Light Group,Above Normal,Light,Above Normal
69.0,Light Group,Above Normal,Light,Above Normal
71.0,Light Group,Normal,Light,Normal
76.0,Light Group,Normal,Light,Normal
76.0,Light Group,Normal,Light,Normal
79.0,Light Group,Above Normal,Light,Above Normal
37.0,Light Group,Below Normal,Light,Below Normal
57.0,Light Group,Above Normal,Light,Above Normal
57.0,Light Group,Above Normal,Light,Above Normal
60.0,Light Group,Above Normal,Light,Above Normal
60.0,Light Group,Below Normal,Light,Below Normal
68.0,Light Group,Below Normal,Light,Below Normal
68.0,Light Group,Below Normal,Light,Below Normal
66.0,Light Group,Normal,Light,Normal
73.0,Light Group,Above Normal,Light,Above Normal
26.0,Light Group,Below Normal,Light,Below Normal
66.0,Light Group,Above Normal,Light,Above Normal
66.0,Light Group,Above Normal,Light,Above Normal
53.0,Light Group,Normal,Light,Normal
69.0,Light Group,Below Normal,Light,Below Normal
66.0,Light Group,Below Normal,Light,Below Normal
66.0,Light Group,Below Normal,Light,Below Normal
73.0,Light Group,Above Normal,Light,Above Normal
64.0,Light Group,Below Normal,Light,Below Normal
23.0,Light Group,Below Normal,Light,Below Normal
73.0,Light Group,Below Normal,Light,Below Normal
62.0,Light Group,Above Normal,Light,Above Normal
83.0,Light Group,Below Normal,Light,Below Normal
77.0,Light Group,Normal,Light,Normal
56.0,Light Group,Normal,Light,Normal
70.0,Light Group,Above Normal,Light,Above Normal
15.0,Light Group,Below Normal,Light,Below Normal
55.0,Light Group,Above Normal,Light,Above Normal
42.0,Light Group,Below Normal,Light,Below Normal
68.0,Light Group,Normal,Light,Normal
55.0,Light Group,Above Normal,Light,Above Normal
53.0,Light Group,Above Normal,Light,Above Normal
61.0,Light Group,Normal,Light,Normal
65.0,Light Group,Below Normal,Light,Below Normal
61.0,Light Group,Normal,Light,Normal
61.0,Light Group,Normal,Light,Normal
61.0,Light Group,Normal,Light,Normal
59.0,Light Group,Above Normal,Light,Above Normal
59.0,Light Group,Above Normal,Light,Above Normal
58.0,Light Group,Below Normal,Light,Below Normal
64.0,Light Group,Above Normal,Light,Above Normal
57.0,Light Group,Above Normal,Light,Above Normal
56.0,Light Group,Normal,Light,Normal
56.0,Light Group,Normal,Light,Normal
45.0,Light Group,Below Normal,Light,Below Normal
72.0,Light Group,Above Normal,Light,Above Normal
72.0,Light Group,Above Normal,Light,Above Normal
61.0,Light Group,Above Normal,Light,Above Normal
61.0,Light Group,Above Normal,Light,Above Normal
56.0,Light Group,Normal,Light,Normal
58.0,Light Group,Normal,Light,Normal
48.0,Light Group,Normal,Light,Normal
48.0,Light Group,Normal,Light,Normal
66.0,Light Group,Normal,Light,Normal
32.0,Light Group,Below Normal,Light,Below Normal
70.0,Light Group,Normal,Light,Normal
57.0,Light Group,Above Normal,Light,Above Normal
65.0,Light Group,Above Normal,Light,Above Normal
65.0,Light Group,Above Normal,Light,Above Normal
68.0,Light Group,Normal,Light,Normal
63.0,Light Group,Normal,Light,Normal
63.0,Light Group,Normal,Light,Normal
60.0,Light Group,Normal,Light,Normal
60.0,Light Group,Normal,Light,Normal
40.0,Light Group,Below Normal,Light,Below Normal
73.0,Light Group,Above Normal,Light,Above Normal
56.0,Light Group,Normal,Light,Normal
65.0,Light Group,Normal,Light,Normal
68.0,Light Group,Normal,Light,Normal
69.0,Light Group,Above Normal,Light,Above Normal
45.0,Light Group,Normal,Light,Normal
45.0,Light Group,Normal,Light,Normal
75.0,Light Group,Above Normal,Light,Above Normal
71.0,Light Group,Above Normal,Light,Above Normal
71.0,Light Group,Above Normal,Light,Above Normal
63.0,Light Group,Normal,Light,Normal
63.0,Light Group,Normal,Light,Normal
74.0,Light Group,Normal,Light,Normal
77.0,Light Group,Above Normal,Light,Above Normal
76.0,Light Group,Normal,Light,Normal
70.0,Light Group,Normal,Light,Normal
70.0,Light Group,Normal,Light,Normal
42.0,Light Group,Below Normal,Light,Below Normal
52.0,Light Group,Below Normal,Light,Below Normal
63.0,Light Group,Normal,Light,Normal
69.0,Light Group,Below Normal,Light,Below Normal
69.0,Light Group,Below Normal,Light,Below Normal
88.0,Light Group,Above Normal,Light,Above Normal
77.0,Light Group,Normal,Light,Normal
59.0,Light Group,Below Normal,Light,Below Normal
46.0,Light Group,Below Normal,Light,Below Normal
66.0,Light Group,Above Normal,Light,Above Normal
60.0,Light Group,Normal,Light,Normal
60.0,Light Group,Normal,Light,Normal
48.0,Light Group,Below Normal,Light,Below Normal
54.0,Light Group,Below Normal,Light,Below Normal
54.0,Light Group,Below Normal,Light,Below Normal
63.0,Light Group,Above Normal,Light,Above Normal
65.0,Light Group,Normal,Light,Normal
65.0,Light Group,Normal,Light,Normal
64.0,Light Group,Above Normal,Light,Above Normal
64.0,Light Group,Above Normal,Light,Above Normal
64.0,Light Group,Above Normal,Light,Above Normal
64.0,Light Group,Above Normal,Light,Above Normal
77.0,Light Group,Above Normal,Light,Above Normal
83.0,Light Group,Below Normal,Light,Below Normal
76.0,Light Group,Below Normal,Light,Below Normal
93.0,Light Group,Normal,Light,Normal
67.0,Light Group,Below Normal,Light,Below Normal
37.0,Light Group,Below Normal,Light,Below Normal
86.0,Light Group,Normal,Light,Normal
86.0,Light Group,Normal,Light,Normal
50.0,Light Group,Below Normal,Light,Below Normal
50.0,Light Group,Below Normal,Light,Below Normal
77.0,Light Group,Above Normal,Light,Above Normal
61.0,Light Group,Above Normal,Light,Above Normal
61.0,Light Group,Above Normal,Light,Above Normal
79.0,Light Group,Normal,Light,Normal
79.0,Light Group,Normal,Light,Normal
79.0,Light Group,Normal,Light,Normal
82.0,Light Group,Normal,Light,Normal
56.0,Light Group,Normal,Light,Normal
56.0,Light Group,Normal,Light,Normal
29.0,Light Group,Below Normal,Light,Below Normal
51.0,Light Group,Normal,Light,Normal
71.0,Light Group,Below Normal,Light,Below Normal
64.0,Light Group,Above Normal,Light,Above Normal
64.0,Light Group,Above Normal,Light,Above Normal
70.0,Light Group,Above Normal,Light,Above Normal
88.0,Light Group,Normal,Light,Normal
88.0,Light Group,Normal,Light,Normal
36.0,Light Group,Below Normal,Light,Below Normal
74.0,Light Group,Above Normal,Light,Above Normal
74.0,Light Group,Above Normal,Light,Above Normal
79.0,Light Group,Normal,Light,Normal
79.0,Light Group,Normal,Light,Normal
79.0,Light Group,Normal,Light,Normal
79.0,Light Group,Normal,Light,Normal
67.0,Light Group,Below Normal,Light,Below Normal
71.0,Light Group,Normal,Light,Normal
71.0,Light Group,Normal,Light,Normal
71.0,Light Group,Normal,Light,Normal
71.0,Light Group,Normal,Light,Normal
71.0,Light Group,Normal,Light,Normal
41.0,Light Group,Below Normal,Light,Below Normal
41.0,Light Group,Below Normal,Light,Below Normal
41.0,Light Group,Below Normal,Light,Below Normal
41.0,Light Group,Below Normal,Light,Below Normal
61.0,Light Group,Normal,Light,Normal
61.0,Light Group,Normal,Light,Normal
74.0,Light Group,Normal,Light,Normal
74.0,Light Group,Normal,Light,Normal
77.0,Light Group,Above Normal,Light,Above Normal
77.0,Light Group,Above Normal,Light,Above Normal
73.0,Light Group,Above Normal,Light,Above Normal
73.0,Light Group,Above Normal,Light,Above Normal
73.0,Light Group,Above Normal,Light,Above Normal
63.0,Light Group,Above Normal,Light,Above Normal
63.0,Light Group,Above Normal,Light,Above Normal
76.0,Light Group,Normal,Light,Normal
76.0,Light Group,Normal,Light,Normal
76.0,Light Group,Normal,Light,Normal
59.0,Light Group,Below Normal,Light,Below Normal
59.0,Light Group,Below Normal,Light,Below Normal
59.0,Light Group,Below Normal,Light,Below Normal
59.0,Light Group,Below Normal,Light,Below Normal
70.0,Light Group,Above Normal,Light,Above Normal
74.0,Light Group,Below Normal,Light,Below Normal
33.0,Light Group,Below Normal,Light,Below Normal
64.0,Light Group,Above Normal,Light,Above Normal
50.0,Light Group,Below Normal,Light,Below Normal
52.0,Light Group,Below Normal,Light,Below Normal
52.0,Light Group,Below Normal,Light,Below Normal
52.0,Light Group,Below Normal,Light,Below Normal
64.0,Light Group,Normal,Light,Normal
63.0,Light Group,Below Normal,Light,Below Normal
63.0,Light Group,Below Normal,Light,Below Normal
42.0,Light Group,Below Normal,Light,Below Normal
82.0,Light Group,Above Normal,Light,Above Normal
88.0,Light Group,Normal,Light,Normal
52.0,Light Group,Above Normal,Light,Above Normal
58.0,Light Group,Below Normal,Light,Below Normal
58.0,Light Group,Below Normal,Light,Below Normal
59.0,Light Group,Below Normal,Light,Below Normal
58.0,Light Group,Below Normal,Light,Below Normal
49.0,Light Group,Above Normal,Light,Above Normal
46.0,Light Group,Above Normal,Light,Above Normal
46.0,Light Group,Above Normal,Light,Above Normal
65.0,Light Group,Above Normal,Light,Above Normal
52.0,Light Group,Above Normal,Light,Above Normal
61.0,Light Group,Above Normal,Light,Above Normal
61.0,Light Group,Above Normal,Light,Above Normal
65.0,Light Group,Above Normal,Light,Above Normal
65.0,Light Group,Above Normal,Light,Above Normal
53.0,Light Group,Normal,Light,Normal
59.0,Light Group,Below Normal,Light,Below Normal
51.0,Light Group,Normal,Light,Normal
57.0,Light Group,Above Normal,Light,Above Normal
57.0,Light Group,Above Normal,Light,Above Normal
57.0,Light Group,Above Normal,Light,Above Normal
50.0,Light Group,Normal,Light,Normal
61.0,Light Group,Above Normal,Light,Above Normal
61.0,Light Group,Above Normal,Light,Above Normal
61.0,Light Group,Above Normal,Light,Above Normal
61.0,Light Group,Above Normal,Light,Above Normal
58.0,Light Group,Above Normal,Light,Above Normal
58.0,Light Group,Above Normal,Light,Above Normal
58.0,Light Group,Above Normal,Light,Above Normal
66.0,Light Group,Above Normal,Light,Above Normal
67.0,Light Group,Above Normal,Light,Above Normal
38.0,Light Group,Normal,Light,Normal
60.0,Light Group,Below Normal,Light,Below Normal
67.0,Light Group,Below Normal,Light,Below Normal
40.0,Light Group,Above Normal,Light,Above Normal
50.0,Light Group,Above Normal,Light,Above Normal
50.0,Light Group,Above Normal,Light,Above Normal
44.0,Light Group,Normal,Light,Normal
44.0,Light Group,Normal,Light,Normal
58.0,Light Group,Normal,Light,Normal
58.0,Light Group,Normal,Light,Normal
53.0,Light Group,Normal,Light,Normal
60.0,Light Group,Above Normal,Light,Above Normal
55.0,Light Group,Below Normal,Light,Below Normal
58.0,Light Group,Normal,Light,Normal
54.0,Light Group,Above Normal,Light,Above Normal
54.0,Light Group,Above Normal,Light,Above Normal
71.0,Light Group,Above Normal,Light,Above Normal
71.0,Light Group,Above Normal,Light,Above Normal
71.0,Light Group,Above Normal,Light,Above Normal
69.0,Light Group,Above Normal,Light,Above Normal
56.0,Light Group,Normal,Light,Normal
56.0,Light Group,Normal,Light,Normal
56.0,Light Group,Normal,Light,Normal
59.0,Light Group,Above Normal,Light,Above Normal
72.0,Light Group,Above Normal,Light,Above Normal
74.0,Light Group,Normal,Light,Normal
74.0,Light Group,Normal,Light,Normal
78.0,Light Group,Above Normal,Light,Above Normal
72.0,Light Group,Above Normal,Light,Above Normal
83.0,Light Group,Above Normal,Light,Above Normal
83.0,Light Group,Above Normal,Light,Above Normal
83.0,Light Group,Above Normal,Light,Above Normal
71.0,Light Group,Normal,Light,Normal
88.0,Light Group,Above Normal,Light,Above Normal
66.0,Light Group,Above Normal,Light,Above Normal
66.0,Light Group,Above Normal,Light,Above Normal
67.0,Light Group,Above Normal,Light,Above Normal
82.0,Light Group,Normal,Light,Normal
82.0,Light Group,Normal,Light,Normal
82.0,Light Group,Normal,Light,Normal
70.0,Light Group,Above Normal,Light,Above Normal
70.0,Light Group,Above Normal,Light,Above Normal
73.0,Light Group,Above Normal,Light,Above Normal
60.0,Light Group,Below Normal,Light,Below Normal
59.0,Light Group,Normal,Light,Normal
61.0,Light Group,Normal,Light,Normal
61.0,Light Group,Normal,Light,Normal
61.0,Light Group,Normal,Light,Normal
56.0,Light Group,Below Normal,Light,Below Normal
56.0,Light Group,Normal,Light,Normal
60.0,Light Group,Above Normal,Light,Above Normal
96.0,Light Group,Above Normal,Light,Above Normal
89.0,Light Group,Above Normal,Light,Above Normal
89.0,Light Group,Above Normal,Light,Above Normal
69.0,Light Group,Below Normal,Light,Below Normal
57.0,Light Group,Below Normal,Light,Below Normal
57.0,Light Group,Below Normal,Light,Below Normal
33.0,Light Group,Below Normal,Light,Below Normal
33.0,Light Group,Below Normal,Light,Below Normal
59.0,Light Group,Above Normal,Light,Above Normal
58.0,Light Group,Below Normal,Light,Below Normal
66.0,Light Group,Below Normal,Light,Below Normal
58.0,Light Group,Normal,Light,Normal
58.0,Light Group,Normal,Light,Normal
44.0,Light Group,Normal,Light,Normal
61.0,Light Group,Above Normal,Light,Above Normal
58.0,Light Group,Above Normal,Light,Above Normal
58.0,Light Group,Above Normal,Light,Above Normal
66.0,Light Group,Above Normal,Light,Above Normal
61.0,Light Group,Above Normal,Light,Above Normal
61.0,Light Group,Above Normal,Light,Above Normal
74.0,Light Group,Above Normal,Light,Above Normal
74.0,Light Group,Above Normal,Light,Above Normal
49.0,Light Group,Above Normal,Light,Above Normal
